day,weight,breed,gender,animal_id,farm
365,226.61596013775184,AC,Females,AC_F_1,Farm1
395,244.52965090231862,AC,Females,AC_F_1,Farm1
425,258.2968647952432,AC,Females,AC_F_1,Farm1
455,263.9257342769771,AC,Females,AC_F_1,Farm1
485,278.544678459643,AC,Females,AC_F_1,Farm1
515,285.8926765784763,AC,Females,AC_F_1,Farm1
545,294.0098661106754,AC,Females,AC_F_1,Farm1
575,297.991508910411,AC,Females,AC_F_1,Farm1
605,309.2838120316558,AC,Females,AC_F_1,Farm1
635,318.7949983807685,AC,Females,AC_F_1,Farm1
665,323.86422932598515,AC,Females,AC_F_1,Farm1
695,334.0946388605732,AC,Females,AC_F_1,Farm1
725,337.38742462281226,AC,Females,AC_F_1,Farm1
755,348.05696510065934,AC,Females,AC_F_1,Farm1
785,354.46423031994914,AC,Females,AC_F_1,Farm1
815,357.39198574922983,AC,Females,AC_F_1,Farm1
845,361.9306029584262,AC,Females,AC_F_1,Farm1
875,370.76591383162355,AC,Females,AC_F_1,Farm1
905,372.56003784861264,AC,Females,AC_F_1,Farm1
935,375.64991871322104,AC,Females,AC_F_1,Farm1
965,386.58946000200524,AC,Females,AC_F_1,Farm1
995,391.45990174812516,AC,Females,AC_F_1,Farm1
1025,391.28752109943656,AC,Females,AC_F_1,Farm1
1055,393.7248267125286,AC,Females,AC_F_1,Farm1
1085,400.04586012829014,AC,Females,AC_F_1,Farm1
1115,405.27541459497286,AC,Females,AC_F_1,Farm1
1145,408.3218345607399,AC,Females,AC_F_1,Farm1
1175,412.9631320105794,AC,Females,AC_F_1,Farm1
1205,412.45088661647986,AC,Females,AC_F_1,Farm1
1235,416.42097396269,AC,Females,AC_F_1,Farm1
1265,419.734871601011,AC,Females,AC_F_1,Farm1
1295,418.28952771088586,AC,Females,AC_F_1,Farm1
1325,422.92249443478096,AC,Females,AC_F_1,Farm1
1355,429.0435069401579,AC,Females,AC_F_1,Farm1
1385,431.2539650566547,AC,Females,AC_F_1,Farm1
1415,430.45722191934107,AC,Females,AC_F_1,Farm1
1445,436.7760740404686,AC,Females,AC_F_1,Farm1
1475,431.63422844946473,AC,Females,AC_F_1,Farm1
1505,434.9751875096388,AC,Females,AC_F_1,Farm1
1535,436.4907205358976,AC,Females,AC_F_1,Farm1
1565,440.0637618160203,AC,Females,AC_F_1,Farm1
1595,441.7772854214601,AC,Females,AC_F_1,Farm1
