day,weight,breed,gender,animal_id,farm
365,231.79928997194054,AC,Females,AC_F_1,FarmRosario
395,242.03248440553728,AC,Females,AC_F_1,FarmRosario
425,256.751086649252,AC,Females,AC_F_1,FarmRosario
455,263.2547461157331,AC,Females,AC_F_1,FarmRosario
485,274.3562471724558,AC,Females,AC_F_1,FarmRosario
515,280.87963791089203,AC,Females,AC_F_1,FarmRosario
545,292.977129559579,AC,Females,AC_F_1,FarmRosario
575,302.68778176021067,AC,Females,AC_F_1,FarmRosario
605,310.73767826616574,AC,Females,AC_F_1,FarmRosario
635,316.8158720864136,AC,Females,AC_F_1,FarmRosario
665,323.57809962479513,AC,Females,AC_F_1,FarmRosario
695,333.73800441559166,AC,Females,AC_F_1,FarmRosario
725,341.97875193393577,AC,Females,AC_F_1,FarmRosario
755,345.2534556800855,AC,Females,AC_F_1,FarmRosario
785,351.4945543686079,AC,Females,AC_F_1,FarmRosario
815,357.69106615164003,AC,Females,AC_F_1,FarmRosario
845,362.4804401056769,AC,Females,AC_F_1,FarmRosario
875,368.2982540894295,AC,Females,AC_F_1,FarmRosario
905,373.53832452367124,AC,Females,AC_F_1,FarmRosario
935,377.654021758692,AC,Females,AC_F_1,FarmRosario
965,383.24397026273095,AC,Females,AC_F_1,FarmRosario
995,388.8826565250641,AC,Females,AC_F_1,FarmRosario
1025,391.525383339306,AC,Females,AC_F_1,FarmRosario
1055,395.27259218207047,AC,Females,AC_F_1,FarmRosario
1085,399.50299284790395,AC,Females,AC_F_1,FarmRosario
1115,402.7886734785046,AC,Females,AC_F_1,FarmRosario
1145,406.5583063183691,AC,Females,AC_F_1,FarmRosario
1175,409.9888376309066,AC,Females,AC_F_1,FarmRosario
1205,413.3812625060216,AC,Females,AC_F_1,FarmRosario
1235,415.51266330041153,AC,Females,AC_F_1,FarmRosario
1265,419.16115348076386,AC,Females,AC_F_1,FarmRosario
1295,421.2180630361334,AC,Females,AC_F_1,FarmRosario
1325,423.98758742873554,AC,Females,AC_F_1,FarmRosario
1355,426.71098064486387,AC,Females,AC_F_1,FarmRosario
1385,430.63984288918584,AC,Females,AC_F_1,FarmRosario
1415,431.7590442706633,AC,Females,AC_F_1,FarmRosario
1445,433.73765463994243,AC,Females,AC_F_1,FarmRosario
1475,436.2132292219688,AC,Females,AC_F_1,FarmRosario
1505,438.4931074131951,AC,Females,AC_F_1,FarmRosario
1535,439.8303638940833,AC,Females,AC_F_1,FarmRosario
1565,440.87581385605563,AC,Females,AC_F_1,FarmRosario
1595,443.376840021162,AC,Females,AC_F_1,FarmRosario
1625,444.74398689231066,AC,Females,AC_F_1,FarmRosario
1655,446.66496220839366,AC,Females,AC_F_1,FarmRosario
1685,448.5252704310312,AC,Females,AC_F_1,FarmRosario
1715,449.7926238879417,AC,Females,AC_F_1,FarmRosario
1745,451.41742045240926,AC,Females,AC_F_1,FarmRosario
1775,452.51486430630973,AC,Females,AC_F_1,FarmRosario
1805,453.6247983311577,AC,Females,AC_F_1,FarmRosario
1835,454.68061883770633,AC,Females,AC_F_1,FarmRosario
1865,454.39408531230634,AC,Females,AC_F_1,FarmRosario
